Run (0% Sand),Time,Gravel Out (g),Sand Out (g),gravel (g/s),gravel (g/sm),sand (g/s),sand (g/sm),gravelfeed g/sm,sand feed,total feed sand (g/,As in F (200 sand),
D1-0100,1.00,0.00,0.00,0.00,0.00,0.00,0.00,10.83,,,,
D1-0200,2.00,0.00,0.00,0.00,0.00,0.00,0.00,10.83,,,,
D1-0300,3.00,0.00,0.00,0.00,0.00,0.00,0.00,10.83,,,,
D1-0400,4.00,0.00,0.00,0.00,0.00,0.00,0.00,10.83,,,,
D1-0500,5.00,0.00,0.00,0.00,0.00,0.00,0.00,10.83,,,,
D1-0600,6.00,0.00,0.00,0.00,0.00,0.00,0.00,10.83,,,,
D1-0700,7.00,0.00,0.00,0.00,0.00,0.00,0.00,10.83,,,,
D1-0800,8.00,0.00,0.00,0.00,0.00,0.00,0.00,10.83,,,,
D1-0900,9.00,0.00,0.00,0.00,0.00,0.00,0.00,10.83,,,,
D1-1000,10.00,0.00,0.00,0.00,0.00,0.00,0.00,10.83,,,,
D1-1100,11.00,288.50,0.00,0.08,0.16,0.00,0.00,10.83,,,,
D1-1200,12.00,444.40,0.00,0.12,0.25,0.00,0.00,10.83,,,,
D1-1300,13.00,5124.00,0.00,1.42,2.85,0.00,0.00,10.83,,,,
D1-1400,14.00,18304.00,0.00,5.08,10.17,0.00,0.00,10.83,,,,
D1-1500,15.00,31603.00,0.00,8.78,17.56,0.00,0.00,10.83,,,,
D1-1600,16.00,32914.00,0.00,9.14,18.29,0.00,0.00,10.83,,,,
D1-1700,17.00,36006.00,0.00,10.00,20.00,0.00,0.00,10.83,,,,
D1-1800,18.00,29684.00,0.00,8.25,16.49,0.00,0.00,10.83,,,,
D1-1900,19.00,24055.00,0.00,6.68,13.36,0.00,0.00,10.83,,,,
D1-2000,20.00,7561.00,0.00,2.10,4.20,0.00,0.00,10.83,,,,
D2-0015,20.25,2206.00,4.00,2.45,4.90,0.00,0.01,,10.83,,,
D2-0030,20.50,13844.00,1438.00,15.38,30.76,1.60,3.20,,10.83,,,
D2-0045,20.75,19762.00,5079.00,21.96,43.92,5.64,11.29,,10.83,,,
D2-0100,21.00,11874.00,4018.00,13.19,26.39,4.46,8.93,,10.83,,,
D2-0115,21.25,10909.00,3940.00,12.12,24.24,4.38,8.76,,10.83,,,
D2-0130,21.50,13137.00,6189.00,14.60,29.19,6.88,13.75,,10.83,,,
D2-0145,21.75,8940.00,3849.00,9.93,19.87,4.28,8.55,,10.83,,,
D2-0200,22.00,8312.00,4405.00,9.24,18.47,4.89,9.79,,10.83,,,
D2-0215,22.25,8711.00,5156.00,9.68,19.36,5.73,11.46,,10.83,,,
D2-0230,22.50,7378.00,5438.00,8.20,16.40,6.04,12.08,,10.83,,,
D2-0245,22.75,6754.00,5463.00,7.50,15.01,6.07,12.14,,10.83,,,
D2-0300,23.00,6354.00,5236.00,7.06,14.12,5.82,11.64,,10.83,,,
D2-0315,23.25,3975.00,3414.00,4.42,8.83,3.79,7.59,,10.83,,,
D2-0330,23.50,3776.00,4483.00,4.20,8.39,4.98,9.96,,10.83,,,
D2-0345,23.75,5235.00,5751.00,5.82,11.63,6.39,12.78,,10.83,,,
D2-0400,24.00,4165.00,4754.00,4.63,9.26,5.28,10.56,,10.83,,,
D2-0415,24.25,3220.00,4144.00,3.58,7.16,4.60,9.21,,10.83,,,
D2-0430,24.50,3491.00,5533.00,3.88,7.76,6.15,12.30,,10.83,,,
D2-0445,24.75,3620.00,6311.00,4.02,8.04,7.01,14.02,,10.83,,,
D2-0500,25.00,2929.00,5000.00,3.25,6.51,5.56,11.11,,10.83,,,
D2-0515,25.25,1815.00,2958.00,2.02,4.03,3.29,6.57,,10.83,,,
D2-0530,25.50,2990.00,5868.00,3.32,6.64,6.52,13.04,,10.83,,,
D2-0545,25.75,2332.00,5386.00,2.59,5.18,5.98,11.97,,10.83,,,
D2-0600,26.00,1754.00,4241.00,1.95,3.90,4.71,9.42,,10.83,,,
D3-0015,26.25,1050.00,4457.00,1.17,2.33,4.95,9.90,,,21.66666667,,
D3-0030,26.50,1950.00,9897.00,2.17,4.33,11.00,21.99,,,21.66666667,,
D3-0045,26.75,1738.00,11750.00,1.93,3.86,13.06,26.11,,,21.66666667,,
D3-0100,27.00,1558.00,10661.00,1.73,3.46,11.85,23.69,,,21.66666667,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
